31:180,126,186,167,90,126,186,167,90,133,211,148,180,133,59,148,
32:180,126,187,166,90,126,187,166,90,133,211,149,180,133,59,149,
33:180,127,187,166,90,127,187,166,90,133,210,149,180,133,60,149,
34:180,127,188,165,90,127,188,165,90,133,210,150,180,133,60,150,
35:180,127,189,165,90,127,189,165,90,133,209,150,180,133,61,150,
36:180,127,190,164,90,127,190,164,90,133,209,151,180,133,61,151,
37:180,128,190,164,90,128,190,164,90,132,208,151,180,132,62,151,
38:180,128,191,163,90,128,191,163,90,132,207,151,180,132,63,151,
39:180,128,192,163,90,128,192,163,90,132,207,152,180,132,63,152,
40:180,128,193,162,90,128,193,162,90,132,206,152,180,132,64,152,
41:180,129,193,162,90,129,193,162,90,132,206,153,180,132,64,153,
42:180,129,194,161,90,129,194,161,90,132,205,153,180,132,65,153,
43:180,129,195,161,90,129,195,161,90,132,204,154,180,132,66,154,
44:180,129,196,160,90,129,196,160,90,131,204,154,180,131,66,154,
45:180,129,196,160,90,129,196,160,90,131,203,155,180,131,67,155,
46:180,130,197,159,90,130,197,159,90,131,203,155,180,131,67,155,
47:180,130,198,159,90,130,198,159,90,131,202,155,180,131,68,155,
48:180,130,198,158,90,130,198,158,90,131,201,156,180,131,69,156,
49:180,130,199,158,90,130,199,158,90,131,201,156,180,131,69,156,
50:180,130,200,157,90,130,200,157,90,131,200,157,180,131,70,157,
51:180,131,200,157,90,131,200,157,90,130,200,157,180,130,70,157,
52:180,131,201,156,90,131,201,156,90,130,199,158,180,130,71,158,
53:180,131,201,156,90,131,201,156,90,130,198,158,180,130,72,158,
54:180,131,202,155,90,131,202,155,90,130,198,159,180,130,72,159,
55:180,131,203,155,90,131,203,155,90,130,197,159,180,130,73,159,
56:180,131,203,155,90,131,203,155,90,129,196,160,180,129,74,160,
57:180,131,204,154,90,131,204,154,90,129,196,160,180,129,74,160,
58:180,132,204,154,90,132,204,154,90,129,195,161,180,129,75,161,
59:180,132,205,153,90,132,205,153,90,129,194,161,180,129,76,161,
60:180,132,206,153,90,132,206,153,90,129,193,162,180,129,77,162,
61:180,132,206,152,90,132,206,152,90,128,193,162,180,128,77,162,
62:180,132,207,152,90,132,207,152,90,128,192,163,180,128,78,163,
63:180,132,207,151,90,132,207,151,90,128,191,163,180,128,79,163,
64:180,132,208,151,90,132,208,151,90,128,190,164,180,128,80,164,
65:180,133,209,151,90,133,209,151,90,127,190,164,180,127,80,164,
66:180,133,209,150,90,133,209,150,90,127,189,165,180,127,81,165,
